Epoch,Batch,Loss,Recon,VQ,Perceptual
1,26,10.7703275680542,0.02182544395327568,8.498610496520996,"tensor(5.6247, device='cuda:0')"
1,27,10.811708450317383,0.028581133112311363,8.514598846435547,"tensor(5.6713, device='cuda:0')"
1,28,9.806623458862305,0.02065180242061615,7.695355415344238,"tensor(5.2265, device='cuda:0')"
1,29,9.337377548217773,0.02540593408048153,6.988895416259766,"tensor(5.8077, device='cuda:0')"
1,30,8.415728569030762,0.020571619272232056,5.907025337219238,"tensor(6.2203, device='cuda:0')"
1,31,7.539473533630371,0.021371394395828247,5.172791481018066,"tensor(5.8633, device='cuda:0')"
1,32,7.105727195739746,0.021843791007995605,4.706233978271484,"tensor(5.9441, device='cuda:0')"
1,33,6.620772361755371,0.022825349122285843,4.38610315322876,"tensor(5.5296, device='cuda:0')"
1,34,6.167240142822266,0.02265399694442749,3.8853816986083984,"tensor(5.6480, device='cuda:0')"
1,35,5.835206031799316,0.018873387947678566,3.716801166534424,"tensor(5.2488, device='cuda:0')"
1,36,5.80511474609375,0.02423533797264099,3.2688045501708984,"tensor(6.2802, device='cuda:0')"
1,37,5.448691368103027,0.02302204631268978,3.287682056427002,"tensor(5.3450, device='cuda:0')"
1,38,5.546813011169434,0.01981671154499054,3.3361616134643555,"tensor(5.4771, device='cuda:0')"
1,39,5.320416450500488,0.019576773047447205,3.2195842266082764,"tensor(5.2031, device='cuda:0')"
1,40,5.5120134353637695,0.023498056456446648,3.1062686443328857,"tensor(5.9556, device='cuda:0')"
1,41,5.367341995239258,0.0207806508988142,3.0312366485595703,"tensor(5.7883, device='cuda:0')"
1,42,5.397635459899902,0.019160281866788864,3.057839870452881,"tensor(5.8016, device='cuda:0')"
1,43,5.155531883239746,0.023501766845583916,3.0596206188201904,"tensor(5.1810, device='cuda:0')"
1,44,5.176861763000488,0.01860952377319336,2.9500811100006104,"tensor(5.5204, device='cuda:0')"
1,45,5.275426864624023,0.02154628001153469,2.855853796005249,"tensor(5.9951, device='cuda:0')"
1,46,5.010275363922119,0.023413997143507004,2.9008986949920654,"tensor(5.2149, device='cuda:0')"
1,47,5.366081237792969,0.022621911019086838,3.006107807159424,"tensor(5.8434, device='cuda:0')"
1,48,5.239194393157959,0.01715000718832016,3.1476314067840576,"tensor(5.1860, device='cuda:0')"
1,49,5.485124588012695,0.01968502625823021,3.166688919067383,"tensor(5.7469, device='cuda:0')"
1,50,5.481219291687012,0.027040373533964157,3.184112787246704,"tensor(5.6752, device='cuda:0')"
1,51,5.3868913650512695,0.02474822662770748,3.168269395828247,"tensor(5.4847, device='cuda:0')"
1,52,5.644199371337891,0.023002108559012413,3.349666118621826,"tensor(5.6788, device='cuda:0')"
1,53,5.557790756225586,0.018265046179294586,3.3495960235595703,"tensor(5.4748, device='cuda:0')"
1,54,5.429011344909668,0.020887590944767,3.261384963989258,"tensor(5.3668, device='cuda:0')"
1,55,5.8306427001953125,0.021299071609973907,3.471238851547241,"tensor(5.8453, device='cuda:0')"
1,56,5.752443313598633,0.021906163543462753,3.47524094581604,"tensor(5.6382, device='cuda:0')"
1,57,5.640298843383789,0.02381706051528454,3.6171388626098633,"tensor(4.9984, device='cuda:0')"
1,58,6.107438087463379,0.023414965718984604,3.8795197010040283,"tensor(5.5113, device='cuda:0')"
1,59,6.035185813903809,0.02055903896689415,3.8443713188171387,"tensor(5.4256, device='cuda:0')"
1,60,6.140235424041748,0.024555131793022156,3.9708781242370605,"tensor(5.3620, device='cuda:0')"
1,61,6.085326194763184,0.021973496302962303,4.009786605834961,"tensor(5.1339, device='cuda:0')"
1,62,6.300116539001465,0.02722032181918621,4.090046405792236,"tensor(5.4571, device='cuda:0')"
1,63,6.3819379806518555,0.021734949201345444,4.20585823059082,"tensor(5.3859, device='cuda:0')"
1,64,6.7244553565979,0.023967428132891655,4.086482048034668,"tensor(6.5350, device='cuda:0')"
1,65,6.426418304443359,0.02774740755558014,4.369178295135498,"tensor(5.0737, device='cuda:0')"
1,66,6.799671173095703,0.023859109729528427,4.655600547790527,"tensor(5.3005, device='cuda:0')"
1,67,7.093132972717285,0.025568081066012383,4.8169264793396,"tensor(5.6266, device='cuda:0')"
1,68,7.565774917602539,0.027143795043230057,5.130398750305176,"tensor(6.0206, device='cuda:0')"
1,69,7.4430999755859375,0.02345113456249237,5.205483436584473,"tensor(5.5354, device='cuda:0')"
1,70,7.653785705566406,0.027996188029646873,5.508944034576416,"tensor(5.2921, device='cuda:0')"
1,71,8.288134574890137,0.035095080733299255,5.592822074890137,"tensor(6.6505, device='cuda:0')"
1,72,8.340999603271484,0.031622253358364105,6.071907997131348,"tensor(5.5937, device='cuda:0')"
1,73,9.053359985351562,0.03447727486491203,6.657981872558594,"tensor(5.9023, device='cuda:0')"
1,74,10.064718246459961,0.03617161512374878,7.6234354972839355,"tensor(6.0128, device='cuda:0')"
1,75,11.272706985473633,0.0301105584949255,8.808283805847168,"tensor(6.0858, device='cuda:0')"
1,76,13.639307022094727,0.02771596424281597,11.515395164489746,"tensor(5.2405, device='cuda:0')"
1,77,14.773214340209961,0.039048537611961365,12.20528507232666,"tensor(6.3222, device='cuda:0')"
1,78,14.795201301574707,0.027209971100091934,12.367116928100586,"tensor(6.0022, device='cuda:0')"
1,79,15.782340049743652,0.033660102635622025,13.344416618347168,"tensor(6.0107, device='cuda:0')"
1,80,14.849160194396973,0.022666756063699722,12.760332107543945,"tensor(5.1654, device='cuda:0')"
1,81,14.872065544128418,0.030217869207262993,12.544677734375,"tensor(5.7429, device='cuda:0')"
1,82,15.334006309509277,0.033183686435222626,13.064367294311523,"tensor(5.5911, device='cuda:0')"
1,83,15.167768478393555,0.02757130190730095,13.11910629272461,"tensor(5.0527, device='cuda:0')"
1,84,16.17190933227539,0.025828346610069275,14.112319946289062,"tensor(5.0844, device='cuda:0')"
1,85,18.169479370117188,0.030203014612197876,15.652820587158203,"tensor(6.2161, device='cuda:0')"
1,86,16.6566104888916,0.027500685304403305,14.443140029907227,"tensor(5.4649, device='cuda:0')"
1,87,16.93470001220703,0.03246335685253143,14.624666213989258,"tensor(5.6939, device='cuda:0')"
1,88,17.17909049987793,0.025616098195314407,14.926965713500977,"tensor(5.5663, device='cuda:0')"
1,89,17.1483097076416,0.03524158149957657,14.739494323730469,"tensor(5.9339, device='cuda:0')"
1,90,18.04962158203125,0.03191232308745384,15.568964004516602,"tensor(6.1219, device='cuda:0')"
1,91,18.21895980834961,0.02147943340241909,16.318906784057617,"tensor(4.6964, device='cuda:0')"
1,92,18.50434684753418,0.026106378063559532,16.224864959716797,"tensor(5.6334, device='cuda:0')"
1,93,19.625473022460938,0.02664324641227722,17.31753158569336,"tensor(5.7032, device='cuda:0')"
1,94,19.645427703857422,0.02980925515294075,17.2122745513916,"tensor(6.0084, device='cuda:0')"
1,95,19.709196090698242,0.02610718086361885,17.49772834777832,"tensor(5.4634, device='cuda:0')"
1,96,20.208744049072266,0.02895337902009487,17.940324783325195,"tensor(5.5987, device='cuda:0')"
1,97,19.62765884399414,0.026738803833723068,17.49512481689453,"tensor(5.2645, device='cuda:0')"
1,98,20.892282485961914,0.02427094243466854,18.90287971496582,"tensor(4.9128, device='cuda:0')"
1,99,20.693906784057617,0.033703893423080444,18.3689022064209,"tensor(5.7282, device='cuda:0')"
1,100,21.771024703979492,0.031338781118392944,19.4315185546875,"tensor(5.7704, device='cuda:0')"
1,101,23.335691452026367,0.024754498153924942,21.214157104492188,"tensor(5.2420, device='cuda:0')"
1,102,22.136083602905273,0.028572916984558105,19.564794540405273,"tensor(6.3568, device='cuda:0')"
1,103,21.398237228393555,0.028823820874094963,18.952211380004883,"tensor(6.0430, device='cuda:0')"
1,104,22.11564826965332,0.02726690098643303,19.934844970703125,"tensor(5.3838, device='cuda:0')"
